Begin_Time(UTC),Max_Time(UTC),>10MeV_Max(pfu),Region,Location,Flare_Max(UTC),Flare_Level,Type_II_Radio_Emission,Type_IV,Linear_Speed,Imagery/Misc
2002 09/07 0440,2002 09/07 1650,20,10102,N10E28,SF 09/05 1706,C5,Yes,No,1748 km/s,C2
2002 11/09 1920,2002 11/10 0540,404,10180,S12W29,2B 11/09 1323,M4,Yes,Yes,1838 km/s,C2
2003 05/28 2340,2003 05/29 1530,121,10365,S06W24,2B 05/28 0027,X3,Yes,Yes,1366 km/s,C2
2003 05/31 0440,2003 05/31 0645,27,10365,S07W65,2B 05/31 0224,M9,Yes,Yes,1835 km/s,C2
2003 06/18 2125,2003 06/19 0415,19,10386,S09E60,SF 06/17 2255,M6,Yes,Yes,1813 km/s,C2
2003 10/26 1825,2003 10/26 2235,466,10484,N02W38,1N 10/26 1815,X1,Yes,No,1537 km/s,C2
2003 10/28 1215,2003 10/29 0615,"29,500",10486,S16E08,4B 10/28 1110,X17,Yes,Yes,2459 km/s,C2 EIT
2003 10/29 2100,2003 10/30 1935,"3,300",10486,S15W02,2B 10/29 2049,X10,Yes,Yes,2029 km/s,C2
2003 11/02 1735,2003 11/03 0815,"1,570",10486,S14W56,2B 11/02 1725,X8,Yes,Yes,2598 km/s,C2
2003 11/04 2225,2003 11/05 0600,353,10486,S19W83,3B 11/04 1952,X28,Yes,Yes,2657 km/s,C2
2003 11/21 2355,2003 11/22 0230,13,10501,N02W17,2B 11/20 2353,M5,No,No,494 km/s,C2
2003 12/02 1555,2003 12/02 1820,88,10508,S17W95,N/A 12/02 1150,C8,No,No,1393 km/s,C2
2004 04/11 1135,2004 04/11 1845,35,10588,S14W47,1F 04/11 0419,C9,No,No,1645 km/s,C2
2004 07/25 1825,2004 07/25 2250,"2,090",10652,N08W33,1F 07/25 1520,M9,Yes,Yes,1333 km/s,C2
2004 09/13 2005,2004 09/14 0005,273,10672,N04E42,2N 09/12 0056,M4,Yes,Yes,1328 km/s,C2
2004 09/19 1925,2004 09/20 0100,57,10672,N03W58,N/A 09/19 1712,M1,Yes,Yes,NA,C2
2004 11/01 0655,2004 11/01 0805,63,NA,S00W120,,NA,No,No,800 km/s,NA
2004 11/07 1910,2004 11/08 0115,495,10696,N09W17,N/A 11/07 1606,X2,Yes,Yes,1759 km/s,C2
2004 11/09 2030,2004 11/09 2130,82,10696,N07W51,2N 11/09 1719,M8,Yes,Yes,1853 km/s,C2
2004 11/10 0255,2004 11/10 1655,424,10696,N09W49,3B 11/10 0213,X2,Yes,Yes,3387 km/s,C2
2005 01/16 0210,2005 01/17 1750,5040,10720,N15W05,N/A 01/15 2302,X2,NA,NA,2861 km/s,C2
2005 05/14 0525,2005 05/15 0240,3140,10759,N12E11,2B 05/13 1657,M8,NA,NA,1689 km/s,C2
2005 06/16 2200,2005 06/17 0500,44,10775,N09W87,N/A 06/16 2022,M4,NA,NA,NA,NA
2005 07/14 0245,2005 07/15 0345,134,10786,N10W80,N/A 07/13 1449,M5,NA,NA,1423 km/s,C2
